ID	PHASE	BENCH	M2	METHOD	SELECT	DIVERSE	STAGE1	R	TAU	METRIC	VALUE	METRIC2	VALUE2	GEN	M1_MEAN	M1_STD	M1_MIN	M1_MAX	INFER_SEC	LATENCY_SEC_PER_Q
AGG-LAT-128w	latency-pope-weighted	pope	128	weighted_avg	attngain	greedygain	576	-	-	AvgF1	0.858541876565282	AvgAcc	0.8661649485	8910/8910	129.22	4.25	128	158	2817.598785	0.316229
AGG-LAT-64w	latency-pope-weighted	pope	64	weighted_avg	attngain	greedygain	576	-	-	AvgF1	0.8469591960297795	AvgAcc	0.8571832761	8910/8910	105.20	19.12	64	158	2711.068798	0.304273
AGG-LAT-32w	latency-pope-weighted	pope	32	weighted_avg	attngain	greedygain	576	-	-	AvgF1	0.8099244865004751	AvgAcc	0.8288258877	8910/8910	105.17	19.21	55	158	2726.453603	0.305999
